author,content,time
 刀锋下的影孑,"
            刚才有人和我说曹操统治下北方名不聊生，而且关羽一起兵就河北皆应这是真的吗？真实曹操统治下北方到底如何呢？望解答
        ","
            10-27        "
 锦帆清浪,"
             1L语遥 ------ 青青子衿，悠悠我心。但为君故，沉吟至今。------ 山不厌高，海不厌深。周公吐哺，天下归
        ","
            10-27        "
 德昭会,"
            曹丕把自己的兄弟子侄当牢改犯养，严密监视，到处迁徙，不给自由，不许随便和兄弟、岳家、外人联系
        ","
            10-27        "
 zhanlunlis017,"
            之前关注过历代帝王庙，发现里面没有丞相大人就在网上搜了一下，结果有人说唐代有，就是如图，说是旧唐书礼仪四里面的，但是我把旧唐书礼仪都找遍了都没有找到，请问有没有找到的，可以拍个照吗？
        ","
            10-27        "
 好好好好先生55,"
            一代华佗名医啊，曹操就算是当时以为华佗要杀他，尽管曹操疑心病很重，但是杀一个名医曹操自己不觉得可惜么？华佗平时的表现也没有太过于威胁曹操啊！ 华佗的一血事迹以及历史故事谁人知晓？可否分享一下
        ","
            10-26        "
 djhaixj乐园,"
            随手一写，大佬们嘴下留情。
        ","
            10-26        "
 贴吧用户_QNyy4RV,"
            理由:曹操到死都没称帝。 分析理由: 1.曹**前是否有称帝的实力？ 2.古代人是否能抵挡称帝的诱惑？ 3.曹操和曹丕谁称帝对曹家掌握魏国权利更好？ 综上，历史小白求大神分析分析，一直挺喜欢曹操的。
        ","
            10-27        "
 友盟李飞,"
            不管天塌没塌，我永远站在曹魏这边，因为我觉得曹操才是白手起家的牛人。你看，刘备有汉室宗亲的身世可以捞个皇叔的名份来当盾牌；孙权坐拥经三代经营的东吴，繁荣昌盛兵多将广，以长江流域为底气与诸候盘旋；袁绍虽为庶，仍旧出于四世三公、名家望族，引得帐下人才济济，军中物资充盈；董卓虽智商成迷，却手握西凉铁骑、骄兵悍将，前期对李儒言听计从；李傕郭汜举董卓残兵雄据长安；南阳袁术财大气粗，独占玉玺，傲娇称帝……相比
        ","
            10-25        "
 水晶龙和圣龙,"
            虽然仍未查明到底是郭太后、曹淑，还是其他人，但它的高规格（在曹休墓之上）及其价值，国务院核定并提升至国家级。 与曹魏相关的分別是： 第一批：褒斜道石门及其摩崖石刻（汉魏十三品包括曹操的衮雪、李苞通阁道题名）、汉魏洛阳故城遗址、辽阳壁画墓群（时间横跨东汉、公孙氏、魏、晋时期的墓葬群） 第三批：邺城遗址 第四批：曹植墓 第五批：亳州曹氏家族墓（曹腾、曹嵩、曹胤等人，曹四孤堆修建公园，內有曹操祠，附近有市博物
        ","
            10-25        "
 大司马龙且??,"
            某货笑死我了，自己发贴还不让回复，怕被指出错误打脸？
        ","
            10-24        "
 水晶龙和圣龙,"
            本人最近刚玩贴吧，不知道为什么发帖子发完无法被人回复，有懂的人私聊教我一下，
        ","
            10-23        "
 执子之矛,"
            遂北烧夷齐城郭室屋，皆阬田荣降卒，系虏其老弱妇女。徇齐至北海，多所残灭。齐人相聚而叛之。---------&lt;史记。项羽本纪&gt; 某人不会再次狡辩这里的阬是坑死人的意思吧死人还能成降卒？徇齐至北海，多所残灭。齐人相聚而叛之。-----------------------某人不会认为这里项羽就屠了一个城或者仅仅杀了田荣的降卒吧知道这话啥意思不？追齐王田荣一直追到北海，所过之处多有屠杀，逼得刚刚复国反秦的齐国又开始反对西楚霸王项羽！ 还有，看看项羽
        ","
            10-23        "
 绝代多情,"
            小的时候喜欢刘备，长大了就喜欢曹操了。感觉自己和身边的人都是这样的。觉得他是一敢爱敢恨的男子
        ","
            10-23        "
 大爱君临,"
            这个版本的曹操传不错，曹操也会用美人计了。
        ","
            10-22        "
 ?晴◆天?,"
            其实，我以前特别喜欢刘备，讨厌曹操，但再后来越来越了解了曹操，也越来越喜欢曹操，不那么喜欢刘
        ","
            10-22        "
